DP No. | Delivery,Destination Postcode,T0_Date,AWB_COD_N,AWB_COD_Y,AWB_NCOD_N,AWB_NCOD_Y
JHR301,1000,2025-03-27,0,1,0,0
JHR301,10300,2025-03-27,0,0,0,1
JHR301,10470,2025-03-27,0,1,0,0
JHR301,11600,2025-03-27,1,1,0,0
JHR301,11900,2025-03-27,1,1,0,1
JHR301,12100,2025-03-27,0,1,0,0
JHR301,13200,2025-03-27,0,3,0,0
JHR301,13310,2025-03-27,0,1,0,0
JHR301,13500,2025-03-27,0,1,0,0
JHR301,14000,2025-03-27,0,2,0,0
JHR301,15100,2025-03-27,0,1,0,0
JHR301,15400,2025-03-27,0,3,0,0
JHR301,16200,2025-03-27,0,1,0,0
JHR301,17000,2025-03-27,0,1,0,0
JHR301,17010,2025-03-27,0,1,0,0
JHR301,17030,2025-03-27,0,1,0,0
JHR301,17200,2025-03-27,0,2,0,0
JHR301,17500,2025-03-27,0,2,0,0
JHR301,17700,2025-03-27,0,1,0,0
JHR301,18000,2025-03-27,0,1,0,0
JHR301,18300,2025-03-27,1,1,0,0
JHR301,20050,2025-03-27,0,1,0,0
JHR301,20400,2025-03-27,0,1,0,0
JHR301,20500,2025-03-27,0,1,0,0
JHR301,2100,2025-03-27,0,1,0,0
JHR301,21030,2025-03-27,0,1,0,0
JHR301,21100,2025-03-27,0,1,0,0
JHR301,21200,2025-03-27,0,2,0,0
JHR301,21400,2025-03-27,0,1,0,0
JHR301,21600,2025-03-27,0,1,0,0
JHR301,22000,2025-03-27,0,1,0,0
JHR301,22010,2025-03-27,0,1,0,0
JHR301,22100,2025-03-27,0,2,0,0
JHR301,24100,2025-03-27,0,1,0,0
JHR301,2500,2025-03-27,0,1,0,0
JHR301,25990,2025-03-27,0,1,0,0
JHR301,26060,2025-03-27,0,1,0,0
JHR301,26180,2025-03-27,0,1,0,0
JHR301,26300,2025-03-27,0,1,0,0
JHR301,26500,2025-03-27,0,1,0,0
JHR301,27000,2025-03-27,0,1,0,0
JHR301,27020,2025-03-27,0,1,0,0
JHR301,27200,2025-03-27,0,2,0,0
JHR301,31350,2025-03-27,0,1,0,0
JHR301,31550,2025-03-27,0,1,0,0
JHR301,31900,2025-03-27,0,1,0,0
JHR301,32610,2025-03-27,0,2,0,0
JHR301,34400,2025-03-27,0,1,0,0
JHR301,34500,2025-03-27,0,2,0,1
JHR301,35800,2025-03-27,0,1,0,0
JHR301,36100,2025-03-27,0,1,0,0
JHR301,36200,2025-03-27,0,1,0,0
JHR301,36500,2025-03-27,1,0,0,0
JHR301,39009,2025-03-27,0,1,0,0
JHR301,39010,2025-03-27,0,1,0,0
JHR301,40150,2025-03-27,0,2,0,0
JHR301,40170,2025-03-27,0,1,0,0
JHR301,40200,2025-03-27,0,1,0,0
JHR301,40300,2025-03-27,0,1,0,0
JHR301,40460,2025-03-27,1,4,0,4
JHR301,40620,2025-03-27,0,0,0,1
JHR301,41050,2025-03-27,0,3,0,0
JHR301,41100,2025-03-27,0,0,0,1
JHR301,41200,2025-03-27,2,0,0,0
JHR301,41250,2025-03-27,0,2,0,0
JHR301,41400,2025-03-27,0,1,0,0
JHR301,42000,2025-03-27,1,2,0,2
JHR301,42450,2025-03-27,0,1,0,0
JHR301,42500,2025-03-27,0,1,0,0
JHR301,42600,2025-03-27,0,1,0,0
JHR301,42700,2025-03-27,0,2,0,0
JHR301,42920,2025-03-27,0,2,0,2
JHR301,43000,2025-03-27,1,3,0,0
JHR301,43100,2025-03-27,0,1,0,0
JHR301,43200,2025-03-27,0,1,0,0
JHR301,43300,2025-03-27,1,1,0,0
JHR301,43650,2025-03-27,1,1,0,0
JHR301,43800,2025-03-27,1,1,0,0
JHR301,44010,2025-03-27,1,0,0,0
JHR301,45500,2025-03-27,0,2,0,0
JHR301,46150,2025-03-27,1,1,0,0
JHR301,47000,2025-03-27,0,2,0,0
JHR301,47170,2025-03-27,0,1,0,0
JHR301,47820,2025-03-27,1,0,0,0
JHR301,48000,2025-03-27,0,3,0,0
JHR301,48300,2025-03-27,0,1,0,0
JHR301,50000,2025-03-27,0,1,0,0
JHR301,50470,2025-03-27,2,0,0,0
JHR301,50480,2025-03-27,0,1,0,0
JHR301,51000,2025-03-27,0,2,0,0
JHR301,51200,2025-03-27,1,0,0,0
JHR301,5150,2025-03-27,0,1,0,0
JHR301,52100,2025-03-27,0,1,0,0
JHR301,5250,2025-03-27,0,1,0,0
JHR301,53100,2025-03-27,0,1,0,0
JHR301,53300,2025-03-27,0,3,0,0
JHR301,5400,2025-03-27,1,0,0,0
JHR301,55300,2025-03-27,0,1,0,0
JHR301,56000,2025-03-27,0,2,0,0
JHR301,56100,2025-03-27,0,2,0,0
JHR301,57100,2025-03-27,0,1,0,0
JHR301,58200,2025-03-27,1,0,0,0
JHR301,6000,2025-03-27,0,1,0,0
JHR301,60000,2025-03-27,0,1,0,0
JHR301,6010,2025-03-27,0,1,0,0
JHR301,62000,2025-03-27,1,1,0,0
JHR301,62574,2025-03-27,1,0,0,0
JHR301,63000,2025-03-27,0,0,0,1
JHR301,6600,2025-03-27,0,1,0,0
JHR301,6800,2025-03-27,0,1,0,0
JHR301,68000,2025-03-27,0,1,0,0
JHR301,68100,2025-03-27,0,2,0,0
JHR301,69000,2025-03-27,0,1,0,0
JHR301,71800,2025-03-27,1,1,0,0
JHR301,71900,2025-03-27,0,1,0,0
JHR301,71950,2025-03-27,0,1,0,0
JHR301,72200,2025-03-27,1,0,0,0
JHR301,72400,2025-03-27,0,1,0,0
JHR301,73000,2025-03-27,0,1,0,0
JHR301,73100,2025-03-27,0,1,0,0
JHR301,73470,2025-03-27,0,1,0,0
