DP No. | Delivery,Destination Postcode,T+5_Date,AWB_COD_N,AWB_COD_Y,AWB_NCOD_N,AWB_NCOD_Y
JHR301,13050,2025-02-25,0,1,0,0
JHR301,13300,2025-02-25,0,2,0,0
JHR301,14100,2025-02-25,0,1,0,0
JHR301,14120,2025-02-25,0,1,0,0
JHR301,14200,2025-02-25,0,1,0,0
JHR301,14300,2025-02-25,0,1,0,0
JHR301,15400,2025-02-25,0,1,0,0
JHR301,16030,2025-02-25,0,1,0,0
JHR301,16070,2025-02-25,0,1,0,0
JHR301,16080,2025-02-25,0,1,0,0
JHR301,17000,2025-02-25,0,1,0,0
JHR301,17500,2025-02-25,0,1,0,0
JHR301,18300,2025-02-25,0,3,0,0
JHR301,20400,2025-02-25,0,1,0,0
JHR301,2100,2025-02-25,0,2,0,0
JHR301,21200,2025-02-25,0,1,0,0
JHR301,23100,2025-02-25,0,1,0,0
JHR301,25150,2025-02-25,0,1,0,0
JHR301,2600,2025-02-25,0,1,0,0
JHR301,26060,2025-02-25,0,0,0,1
JHR301,26600,2025-02-25,0,3,0,0
JHR301,26900,2025-02-25,0,1,0,0
JHR301,27030,2025-02-25,0,1,0,0
JHR301,28200,2025-02-25,0,1,0,0
JHR301,28330,2025-02-25,0,1,0,0
JHR301,28700,2025-02-25,0,1,0,0
JHR301,31100,2025-02-25,0,1,0,0
JHR301,33320,2025-02-25,0,1,0,0
JHR301,34000,2025-02-25,0,1,0,0
JHR301,34010,2025-02-25,0,1,0,0
JHR301,34510,2025-02-25,0,1,0,0
JHR301,34700,2025-02-25,0,1,0,0
JHR301,34950,2025-02-25,0,1,0,0
JHR301,35900,2025-02-25,0,1,0,0
JHR301,36400,2025-02-25,0,0,0,1
JHR301,40000,2025-02-25,0,1,0,0
JHR301,40150,2025-02-25,0,1,0,0
JHR301,41050,2025-02-25,0,1,0,0
JHR301,41200,2025-02-25,0,1,0,0
JHR301,41400,2025-02-25,0,1,0,0
JHR301,42200,2025-02-25,0,1,0,0
JHR301,42610,2025-02-25,0,1,0,0
JHR301,42700,2025-02-25,0,2,0,1
JHR301,42960,2025-02-25,0,1,0,0
JHR301,43000,2025-02-25,0,3,0,0
JHR301,43300,2025-02-25,0,2,0,0
JHR301,43400,2025-02-25,0,1,0,0
JHR301,43500,2025-02-25,0,1,0,0
JHR301,43650,2025-02-25,0,1,0,0
JHR301,44000,2025-02-25,0,1,0,0
JHR301,46150,2025-02-25,0,1,0,0
JHR301,47000,2025-02-25,0,1,0,0
JHR301,47020,2025-02-25,0,2,0,0
JHR301,47100,2025-02-25,0,1,0,1
JHR301,47300,2025-02-25,0,1,0,0
JHR301,47400,2025-02-25,0,1,0,0
JHR301,47600,2025-02-25,0,1,0,0
JHR301,47610,2025-02-25,0,1,0,0
JHR301,47820,2025-02-25,0,2,0,0
JHR301,48300,2025-02-25,0,1,0,0
JHR301,52000,2025-02-25,0,1,0,0
JHR301,52100,2025-02-25,0,1,0,0
JHR301,5300,2025-02-25,0,1,0,0
JHR301,53100,2025-02-25,0,1,0,0
JHR301,53300,2025-02-25,0,3,0,1
JHR301,5350,2025-02-25,0,1,0,0
JHR301,53990,2025-02-25,0,1,0,0
JHR301,5460,2025-02-25,0,1,0,0
JHR301,55100,2025-02-25,0,1,0,0
JHR301,55200,2025-02-25,0,2,0,0
JHR301,56000,2025-02-25,0,2,0,0
JHR301,56100,2025-02-25,0,1,0,0
JHR301,57000,2025-02-25,0,1,0,0
JHR301,60000,2025-02-25,0,1,0,0
JHR301,6010,2025-02-25,0,1,0,0
JHR301,63100,2025-02-25,0,1,0,0
JHR301,68000,2025-02-25,0,2,0,0
JHR301,68100,2025-02-25,0,1,0,0
JHR301,70400,2025-02-25,0,1,0,0
JHR301,71600,2025-02-25,0,1,0,0
JHR301,75100,2025-02-25,0,1,0,0
JHR301,8000,2025-02-25,0,0,0,1
JHR301,80000,2025-02-25,0,19,0,5
JHR301,80050,2025-02-25,0,6,0,1
JHR301,80100,2025-02-25,1,50,0,16
JHR301,80110,2025-02-25,0,188,0,127
JHR301,80150,2025-02-25,0,8,0,2
JHR301,80200,2025-02-25,0,2,0,0
JHR301,80250,2025-02-25,0,2,0,0
JHR301,80300,2025-02-25,0,5,0,0
JHR301,80532,2025-02-25,0,1,0,0
JHR301,80604,2025-02-25,0,1,0,0
JHR301,80800,2025-02-25,0,3,0,1
JHR301,80990,2025-02-25,0,3,0,1
JHR301,8100,2025-02-25,0,1,0,0
JHR301,81000,2025-02-25,0,0,0,3
JHR301,8110,2025-02-25,0,1,0,0
JHR301,81100,2025-02-25,2,3873,1,6231
JHR301,81110,2025-02-25,0,112,0,123
JHR301,81120,2025-02-25,0,9,0,1
JHR301,81200,2025-02-25,0,10,0,17
JHR301,81300,2025-02-25,0,7,0,6
JHR301,81400,2025-02-25,0,1,0,1
JHR301,81700,2025-02-25,0,26,0,9
JHR301,81750,2025-02-25,0,9,0,5
JHR301,81800,2025-02-25,0,42,0,22
JHR301,81810,2025-02-25,0,4,0,1
JHR301,81920,2025-02-25,0,0,0,1
JHR301,81930,2025-02-25,0,1,0,0
JHR301,8200,2025-02-25,0,1,0,0
JHR301,82100,2025-02-25,0,12,0,1
JHR301,8300,2025-02-25,0,1,0,0
JHR301,83000,2025-02-25,0,1,0,0
JHR301,84000,2025-02-25,0,2,0,0
JHR301,84710,2025-02-25,0,2,0,0
JHR301,84900,2025-02-25,0,1,0,0
JHR301,86200,2025-02-25,0,2,0,0
