Operating Station No.,应到总票数,Qty | Arrived,Data Date
JHR301,11321,11122,2025-04-30
JHR357,9500,8564,2025-04-30
JHR361,4060,4332,2025-04-30
JHR369,3030,3102,2025-04-30
JHR371,4768,9388,2025-04-30
JHR374,3023,3258,2025-04-30
JHR378,3748,4516,2025-04-30
JHR345,11906,14393,2025-04-30
JHR7564,1365,1135,2025-04-30
JHR382,3716,3621,2025-04-30
JHR384,4825,4008,2025-04-30
JHR302,10299,10068,2025-04-30
JHR315,8135,7110,2025-04-30
JHR7563,4278,4369,2025-04-30
JHR334,4950,4743,2025-04-30
JHR7422,1447,1559,2025-04-30
JHR360,6437,7538,2025-04-30
JHR307,4946,5053,2025-04-30
JHR310,19645,20917,2025-04-30
JHR319,3777,3967,2025-04-30
JHR343,7485,6409,2025-04-30
JHR366,2707,2783,2025-04-30
JHR373,4645,4733,2025-04-30
JHR376,6396,6383,2025-04-30
JHR381,4499,4536,2025-04-30
JHR385,1763,1764,2025-04-30
JHR435,5008,4024,2025-04-30
JHR341,4230,4316,2025-04-30
JHR356,8325,7103,2025-04-30
JHR372,2151,2297,2025-04-30
JHR7401,2277,2202,2025-04-30
JHR383,1948,2293,2025-04-30
JHR389,3629,3357,2025-04-30
JHR336,10892,11681,2025-04-30
JHR362,12279,11326,2025-04-30
JHR368,7672,6179,2025-04-30
JHR370,6955,6449,2025-04-30
JHR349,5982,6015,2025-04-30
JHR350,4294,4271,2025-04-30
JHR359,12013,10232,2025-04-30
JHR365,7403,6174,2025-04-30
JHR375,2876,3477,2025-04-30
JHR377,6326,7182,2025-04-30
JHR380,2343,2419,2025-04-30
JHR429,2498,2562,2025-04-30
JHR354,7922,6946,2025-04-30
JHR7427,206,1656,2025-04-30
JHR7429,2440,2401,2025-04-30
JHR358,2487,2656,2025-04-30
JHR7561,1749,1548,2025-04-30
JHR301,10906,11390,2025-04-29
JHR357,7965,8409,2025-04-29
JHR361,4141,4254,2025-04-29
JHR369,2835,3096,2025-04-29
JHR371,4275,8517,2025-04-29
JHR374,3117,3175,2025-04-29
JHR378,4525,3679,2025-04-29
JHR345,15686,13845,2025-04-29
JHR7564,966,984,2025-04-29
